name,age,team,position,TOI,season
Geoff Sanderson,25,3TM,LW,1138.6166666666666,1998
Geoff Sanderson,25,CAR,LW,580.85,1998
Geoff Sanderson,25,VAN,LW,123.3,1998
Geoff Sanderson,25,BUF,LW,434.46666666666664,1998
RenÃ© Corbet,24,COL,LW,820.65,1998
Bill Lindsay,26,FLA,LW,1193.3,1998
Bernie Nicholls,36,SJS,C,901.7333333333333,1998
Denis Pederson,22,NJD,C,1012.4833333333333,1998
Steve Sullivan,23,TOR,C,900.8833333333333,1998
Jeff Brown,31,3TM,D,1290.35,1998
Jeff Brown,31,CAR,D,681.1833333333333,1998
Jeff Brown,31,TOR,D,408.81666666666666,1998
Jeff Brown,31,WSH,D,200.35,1998
P.J. Axelsson,22,BOS,LW,1352.9333333333334,1998
Matt Cullen,21,MDA,C,869.75,1998
Rob DiMaio,29,BOS,RW,1240.9833333333333,1998
Mike Gartner,38,PHX,RW,888.7666666666667,1998
Brent Gilchrist,30,DET,LW,977.6333333333333,1998
Bret Hedican,27,VAN,D,1464.0166666666667,1998
Cale Hulse,24,CGY,D,1522.4,1998
Mike Ricci,26,2TM,C,1066.3666666666666,1998
Mike Ricci,26,COL,C,76.7,1998
Mike Ricci,26,SJS,C,989.6666666666666,1998
Tony Hrkac,31,2TM,C,578.0166666666667,1998
Tony Hrkac,31,DAL,C,144.95,1998
Tony Hrkac,31,EDM,C,433.06666666666666,1998
Magnus Arvedson,26,OTT,LW,928.3666666666667,1998
Blair Atcheynum,28,STL,RW,879.9666666666667,1998
Dale Hunter,37,WSH,C,955.8833333333333,1998
Mats Lindgren,23,EDM,C,1301.8166666666666,1998
Aleksey Morozov,20,PIT,RW,840.35,1998
Scott Stevens,33,NJD,D,1874.7666666666667,1998
Rob Zamuner,28,TBL,LW,1492.35,1998
Richard ZednÃ­k,22,WSH,RW,764.6666666666666,1998
Matthew Barnaby,24,BUF,RW,957.1166666666667,1998
Mariusz Czerkawski,25,NYI,RW,791.15,1998
Tony Granato,33,SJS,RW,747.9,1998
Kyle McLaren,20,BOS,D,1453.4,1998
Brian Noonan,32,VAN,RW,1096.1333333333334,1998
Marcus Ragnarsson,26,SJS,D,1660.7666666666667,1998
Glen Wesley,29,CAR,D,1646.1333333333334,1998
Terry Yake,29,STL,C,952.1333333333333,1998
Joe Sacco,28,2TM,LW,1116.3833333333334,1998
Joe Sacco,28,MDA,LW,776.5,1998
Joe Sacco,28,NYI,LW,339.8833333333333,1998
VÃ¡clav Prospal,22,2TM,C,717.65,1998
VÃ¡clav Prospal,22,PHI,C,495.3666666666667,1998
VÃ¡clav Prospal,22,OTT,C,222.28333333333333,1998
Sylvain CÃ´tÃ©,32,2TM,D,1355.4,1998
Sylvain CÃ´tÃ©,32,WSH,D,1094.6333333333334,1998
Sylvain CÃ´tÃ©,32,TOR,D,260.76666666666665,1998
Jonas HÃ¶glund,25,2TM,LW,994.2333333333333,1998
Jonas HÃ¶glund,25,CGY,LW,613.3666666666667,1998
Jonas HÃ¶glund,25,MTL,LW,380.8666666666667,1998
Curtis Brown,21,BUF,C,910.4666666666667,1998
Guy Carbonneau,37,DAL,C,1168.3833333333334,1998
Shawn Chambers,31,DAL,D,1161.5333333333333,1998
Sandy Moger,28,LAK,RW,776.1,1998
Shjon Podein,29,PHI,RW,1146.4833333333333,1998
Dave Scatchard,21,VAN,C,798.3333333333334,1998
Steve Thomas,34,NJD,RW,792.3166666666667,1998
Grant Ledyard,36,2TM,D,1203.1666666666667,1998
Grant Ledyard,36,VAN,D,770.8333333333334,1998
Grant Ledyard,36,BOS,D,432.3333333333333,1998
Bryan McCabe,22,2TM,D,1914.4,1998
Bryan McCabe,22,NYI,D,1261.75,1998
Bryan McCabe,22,VAN,D,652.65,1998
Andrew Brunette,24,WSH,LW,427.0833333333333,1998
Kelly Buchberger,31,EDM,RW,1288.3833333333334,1998
Kevin Dineen,34,CAR,RW,757.5666666666667,1998
Kris Draper,26,DET,C,963.1666666666666,1998
Dave Ellett,33,BOS,D,1829.0333333333333,1998
Scott Fraser,25,EDM,RW,348.5,1998
Ed Jovanovski,21,FLA,D,1578.9333333333334,1998
Andrei Kovalenko,27,EDM,RW,807.9,1998
Sergei Krivokrasov,23,CHI,LW,827.6333333333333,1998
Kirk Maltby,25,DET,LW,916.2666666666667,1998
Lyle Odelein,29,NJD,D,1705.6,1998
Dixon Ward,29,BUF,RW,1045.0833333333333,1998
Eric Weinrich,31,CHI,D,1752.8333333333333,1998
Sergei Zholtok,25,OTT,RW,933.55,1998
