season,team,GF,GA,GP
2010,San Jose Sharks,264.0,215.0,82.0
2010,Phoenix Coyotes,225.0,202.0,82.0
2010,Los Angeles Kings,241.0,219.0,82.0
2010,Anaheim Ducks,238.0,251.0,82.0
2010,Dallas Stars,237.0,254.0,82.0
2010,New Jersey Devils,222.0,191.0,82.0
2010,Pittsburgh Penguins,257.0,237.0,82.0
2010,Philadelphia Flyers,236.0,225.0,82.0
2010,New York Rangers,222.0,218.0,82.0
2010,New York Islanders,222.0,264.0,82.0
2010,Buffalo Sabres,235.0,207.0,82.0
2010,Ottawa Senators,225.0,238.0,82.0
2010,Boston Bruins,206.0,200.0,82.0
2010,Montreal Canadiens,217.0,223.0,82.0
2010,Toronto Maple Leafs,214.0,267.0,82.0
2010,Washington Capitals,318.0,233.0,82.0
2010,Atlanta Thrashers,234.0,256.0,82.0
2010,Carolina Hurricanes,230.0,256.0,82.0
2010,Tampa Bay Lightning,217.0,260.0,82.0
2010,Florida Panthers,208.0,244.0,82.0
2011,Detroit Red Wings,261.0,241.0,82.0
2011,Nashville Predators,219.0,194.0,82.0
2011,Chicago Blackhawks,258.0,225.0,82.0
2011,St. Louis Blues,240.0,234.0,82.0
2011,Columbus Blue Jackets,215.0,258.0,82.0
2011,Vancouver Canucks,262.0,185.0,82.0
2011,Calgary Flames,250.0,237.0,82.0
2011,Minnesota Wild,206.0,233.0,82.0
2011,Colorado Avalanche,227.0,288.0,82.0
2011,Edmonton Oilers,193.0,269.0,82.0
2011,San Jose Sharks,248.0,213.0,82.0
2011,Anaheim Ducks,239.0,235.0,82.0
2011,Phoenix Coyotes,231.0,226.0,82.0
2011,Los Angeles Kings,219.0,198.0,82.0
2011,Dallas Stars,227.0,233.0,82.0
2011,Philadelphia Flyers,259.0,223.0,82.0
2011,Pittsburgh Penguins,238.0,199.0,82.0
2011,New York Rangers,233.0,198.0,82.0
2011,New Jersey Devils,174.0,209.0,82.0
2011,New York Islanders,229.0,264.0,82.0
2011,Boston Bruins,246.0,195.0,82.0
2011,Montreal Canadiens,216.0,209.0,82.0
2011,Buffalo Sabres,245.0,229.0,82.0
2011,Toronto Maple Leafs,218.0,251.0,82.0
2011,Ottawa Senators,192.0,250.0,82.0
2011,Washington Capitals,224.0,197.0,82.0
2011,Tampa Bay Lightning,247.0,240.0,82.0
2011,Carolina Hurricanes,236.0,239.0,82.0
2011,Atlanta Thrashers,223.0,269.0,82.0
2011,Florida Panthers,195.0,229.0,82.0
2012,St. Louis Blues,210.0,165.0,82.0
2012,Nashville Predators,237.0,210.0,82.0
2012,Detroit Red Wings,248.0,203.0,82.0
2012,Chicago Blackhawks,248.0,238.0,82.0
2012,Columbus Blue Jackets,202.0,262.0,82.0
2012,Vancouver Canucks,249.0,198.0,82.0
2012,Calgary Flames,202.0,226.0,82.0
2012,Colorado Avalanche,208.0,220.0,82.0
2012,Minnesota Wild,177.0,226.0,82.0
2012,Edmonton Oilers,212.0,239.0,82.0
2012,Phoenix Coyotes,216.0,204.0,82.0
2012,San Jose Sharks,228.0,210.0,82.0
2012,Los Angeles Kings,194.0,179.0,82.0
2012,Dallas Stars,211.0,222.0,82.0
2012,Anaheim Ducks,204.0,231.0,82.0
2012,New York Rangers,226.0,187.0,82.0
2012,Pittsburgh Penguins,282.0,221.0,82.0
2012,Philadelphia Flyers,264.0,232.0,82.0
2012,New Jersey Devils,228.0,209.0,82.0
2012,New York Islanders,203.0,255.0,82.0
2012,Boston Bruins,269.0,202.0,82.0
2012,Ottawa Senators,249.0,240.0,82.0
2012,Buffalo Sabres,218.0,230.0,82.0
2012,Toronto Maple Leafs,231.0,264.0,82.0
2012,Montreal Canadiens,212.0,226.0,82.0
2012,Florida Panthers,203.0,227.0,82.0
2012,Washington Capitals,222.0,230.0,82.0
2012,Tampa Bay Lightning,235.0,281.0,82.0
2012,Winnipeg Jets,225.0,246.0,82.0
2012,Carolina Hurricanes,213.0,243.0,82.0
2013,Chicago Blackhawks,155.0,102.0,48.0
2013,St. Louis Blues,129.0,115.0,48.0
2013,Detroit Red Wings,124.0,115.0,48.0
2013,Columbus Blue Jackets,120.0,119.0,48.0
2013,Nashville Predators,111.0,139.0,48.0
2013,Vancouver Canucks,127.0,121.0,48.0
2013,Minnesota Wild,122.0,127.0,48.0
2013,Edmonton Oilers,125.0,134.0,48.0
2013,Calgary Flames,128.0,160.0,48.0
2013,Colorado Avalanche,116.0,152.0,48.0
2013,Anaheim Ducks,140.0,118.0,48.0
2013,Los Angeles Kings,133.0,118.0,48.0
2013,San Jose Sharks,124.0,116.0,48.0
2013,Phoenix Coyotes,125.0,131.0,48.0
2013,Dallas Stars,130.0,142.0,48.0
2013,Pittsburgh Penguins,165.0,119.0,48.0
2013,New York Rangers,130.0,112.0,48.0
2013,New York Islanders,139.0,139.0,48.0
2013,Philadelphia Flyers,133.0,141.0,48.0
2013,New Jersey Devils,112.0,129.0,48.0
2013,Montreal Canadiens,149.0,126.0,48.0
2013,Boston Bruins,131.0,109.0,48.0
2013,Toronto Maple Leafs,145.0,133.0,48.0
2013,Ottawa Senators,116.0,104.0,48.0
2013,Buffalo Sabres,125.0,143.0,48.0
2013,Washington Capitals,149.0,130.0,48.0
2013,Winnipeg Jets,128.0,144.0,48.0
2013,Carolina Hurricanes,128.0,160.0,48.0
2013,Tampa Bay Lightning,148.0,150.0,48.0
2013,Florida Panthers,112.0,171.0,48.0
2014,Colorado Avalanche,250.0,220.0,82.0
2014,St. Louis Blues,248.0,191.0,82.0
2014,Chicago Blackhawks,267.0,220.0,82.0
2014,Minnesota Wild,207.0,206.0,82.0
2014,Dallas Stars,235.0,228.0,82.0
2014,Nashville Predators,216.0,242.0,82.0
2014,Winnipeg Jets,227.0,237.0,82.0
2014,Anaheim Ducks,266.0,209.0,82.0
2014,San Jose Sharks,249.0,200.0,82.0
2014,Los Angeles Kings,206.0,174.0,82.0
2014,Phoenix Coyotes,216.0,231.0,82.0
2014,Vancouver Canucks,196.0,223.0,82.0
2014,Calgary Flames,209.0,241.0,82.0
2014,Edmonton Oilers,203.0,270.0,82.0
2014,Boston Bruins,261.0,177.0,82.0
2014,Tampa Bay Lightning,240.0,215.0,82.0
2014,Montreal Canadiens,215.0,204.0,82.0
2014,Detroit Red Wings,222.0,230.0,82.0
2014,Ottawa Senators,236.0,265.0,82.0
